Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",28,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,F,Y30T69,PT,2024-12-12T00:00:00,2021,19.8
2019,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",28,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,F,Y30T69,PT,2024-12-12T00:00:00,2021,18.9
2020,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",28,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,F,Y30T69,PT,2024-12-12T00:00:00,2021,19.0
2021,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",28,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,F,Y30T69,PT,2024-12-12T00:00:00,2021,19.0
2000,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,26.5
2005,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,25.0
2010,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,25.1
2015,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,25.4
2019,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,24.0
2020,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,24.8
2021,A,0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",33.4,13.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_DTH_NCOM,204,M,Y30T69,PT,2024-12-12T00:00:00,2021,22.7
